ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
1077;LAREO;1;LOS DATOS DE 2008-09 A 2012-13 ESTAN PENDIENTES DE REVISION                                                             ;20015;114;572496;4758734;572496;4758734;-20639;425837;-20644;425833;743;742.5;1962;13;13;572390;4758525;
1078;IBIUR;1;;20904;89;571270;4770494;571270;4770494;-20728;430459;-20733;430455;;168.4;1936;12;13;571164;4770285;
1079;ARRIARAN;1;LOS DATOS DE 2008-09, 2011-12, 2013-14 Y 2015-16 ESTAN PENDIENTES DE REVISION                                           ;20019;88;562039;4769015;562039;4769015;-21417;430414;-21421;430410;;;1961;13;13;561933;4768806;
1108;AÑARBE;1;;20067;64;591453;4785213;591453;4785214;-15227;431248;-15232;431244;;160;1017;12;13;591347;4785004;E072
1131;ZOLLO;0;INT 1983                                                                                                                ;48009;61;503592;4782337;503592;4782337;-25721;431135;-25726;431131;0;210;1993;25;40;503486;4782129;
1177;ORDUNTE;1;LOS DATOS DE 2008-09, 2012-13, 2014-15 Y 2016-17 ESTAN PENDIENTES DE REVISION                                           ;9410;85;477011;4778868;477011;4778868;-31658;430941;-31703;430937;0;308;1992;58;72;476905;4778660;E062
1231;ALSA - MEDIAJO;1;LOS DATOS DE 2008-09 A 2010-11 Y 2013-14 ESTAN PENDIENTES DE REVISION                                                   ;39070;83;418780;4772050;418780;4772050;-40325;430740;-35958;430542;0;842;1100;63;77;418673;4771844;E056
1253;COHILLA, LA;1;;39089;82;387140;4776691;387140;4776691;-42315;430802;-42320;430758;0;777.9;1114;51;51;387033;4776485;E052
1266;URDON;1;;39049;56;367678;4791963;367678;4791963;-43750;431605;-43754;431601;;;1127;59;59;367571;4791758;E703
1273;CAMARMEÑA;1;LOS DATOS DE 2011-12 ESTAN PENDIENTES DE REVISION                                                                       ;24116;55;345738;4786951;345738;4786951;-45357;431308;-45402;431304;0;0;1129;59;59;345630;4786746;E051
1274;ARENAS DE CABRALES;1;LOS DATOS DE 2011-12 ESTAN PENDIENTES DE REVISION                                                                       ;33008;56;353367;4796045;353367;4796045;-44828;431811;-44833;431804;0;0;1131;59;59;353259;4795840;E064
1333;TANES;1;LOS DATOS DE 2008-09 Y 2011-12 ESTAN PENDIENTES DE REVISION                                                             ;33067;54;302735;4788422;302735;4788422;-52544;431319;-52549;431315;493;492.5;1148;34;34;302626;4788217;E040
1334;RIOSECO;1;LOS DATOS DE 2012-13 ESTÁN PENDIENTES DE REVISIÓN                                                                       ;33067;54;299246;4789306;299246;4789306;-52819;431345;-52824;431341;381;380.5;1150;34;34;299137;4789101;E041
1340;PRIAÑES;1;LOS DATOS DE 2009-10 Y 2011-12 ESTAN PENDIENTES DE REVISION                                                             ;33054;28;259106;4807832;259106;4807832;-55826;432302;-55831;432258;0;77.5;1173;36;36;258997;4807627;E045
1346;PROAZA (VALDEMURRIO);1;LOS DATOS DE 2012-13 ESTÁN PENDIENTES DE REVISIÓN                                                                       ;33052;52;742236;4792975;255136;4793069;-60058;431460;-60103;431456;;;1169;24;24;255029;4792863;
1350;SOMIEDO;0;INT 1963                                                                                                                ;33068;76;723629;4777602;235473;4779067;-61505;430703;-61510;430658;617.7;615.7;1191;6;19;235363;4778862;
1356;BARCA, LA;1;RESERVA MODIFICADA DE 1970 A MAYO 2016 (REFERENCIA RESPECTO VOLUMEN TOTAL). DATOS 2009-10 PROVISIONALES                 ;33005;51;718743;4800146;232215;4801909;-61809;431918;-61814;431914;0;212;1189;51;51;232105;4801704;E046
1357;RIERA, LA;1;;33068;76;722901;4781682;235039;4783190;-61531;430915;-61536;430911;;;1191;24;24;234932;4782984;
1360;MIRANDA;1;;33005;51;726827;4801572;240382;4802751;-61208;431955;-61213;431951;;;1192;20;20;240275;4802545;
1406;SALIME;1;LOS DATOS DE 2011-12 ESTÁN PENDIENTES DE REVISIÓN                                                                       ;33001;50;674898;4789518;187695;4794451;-65046;431415;-65051;431411;224.5;224.5;1222;63;67;187585;4794246;E037
1408;DOIRAS;1;LOS DATOS DE 2012-13 ESTÁN PENDIENTES DE REVISIÓN                                                                       ;33007;26;676309;4806171;190301;4810974;-64924;432313;-64929;432309;109.2;109.2;1232;63;77;190190;4810769;E038
1409;ARBON;1;LOS DATOS DE 2008-09 ESTAN PENDIENTES DE REVISION                                                                       ;33077;26;683699;4816511;198422;4820762;-64343;432841;-64349;432837;33.2;33.2;1234;52;52;198311;4820557;E039
